location_name,cgd_rate,cgd_rate_lower,cgd_rate_upper,cgd_deaths,all_deaths,pmr
Afghanistan,204.53001767985282,107.46780974804638,375.6603791558841,12706.906622701754,70589.74658503896,18.0010656468271
Azerbaijan,162.4392257968932,96.36708143741505,256.1727922523674,1025.5382681093486,6089.997150807587,16.839716714372408
Haiti,161.2029104425166,86.45382116315433,274.8931049454772,2654.4172423757896,20364.100152567895,13.034787800535689
Libya,143.50884250934993,93.61471728226044,217.67946141770003,830.1307519592591,3524.8934800072743,23.55052022614726
Sierra Leone,138.81862457569972,67.70382814473545,255.7673229880375,1522.426522698129,25402.81153838226,5.993141823682886
Tunisia,131.5436835169203,83.21419991529221,199.07387889851324,1076.7343693881612,4509.593414590922,23.87652877761342
Lao People's Democratic Republic,128.52239998720728,71.10006180945913,218.16899244389285,1032.6819314519382,7792.782776191951,13.251773610409456
Benin,127.27424587124843,47.302453067186256,303.368689654881,2991.0354095195394,33530.0946197973,8.920450250544569
Ethiopia,124.50073528254373,64.19062609253106,222.805391770929,20420.65428482357,192091.5132653737,10.630690517083131
Egypt,121.76206191093965,71.20952262972506,210.689449043877,15207.621266098933,51289.87648785874,29.650337079089784
Bolivia (Plurinational State of),120.27488712606792,69.31804472200074,196.14201008293813,1373.8033996679048,6710.360018545986,20.472871736702782
Yemen,118.22036340340233,68.81437142814028,205.11511528278967,5870.0275565138545,34155.37481701202,17.186248395640867
Myanmar,118.1934144758962,66.02890706540313,203.87362021452225,6321.185797446875,46706.987435196905,13.533704793564635
South Sudan,115.84331644119847,54.824905246932346,227.26312542519452,1618.4635218809997,32423.936828627247,4.9915700565147
Guinea,115.43263061091383,50.749082243028944,223.32700919326186,2703.713226823327,40911.06775369739,6.608757422565622
Liberia,110.15280918215642,48.38577542217544,231.4508659155561,841.9608723927721,14353.356093378648,5.86595125847381
Nigeria,109.54230677777907,49.42854710684025,225.58170726434014,42483.244756449596,717728.9236097323,5.919121183355014
Sudan,109.22761019399722,62.58992198795868,188.08536525313468,4570.980745890612,22742.680951359704,20.098689137251117
Burkina Faso,108.32413397665654,44.60265067062955,221.90430891837707,4798.754312492175,54443.4607207796,8.814197791546011
Mali,108.22599199249349,52.91079448579542,202.43586709382916,4978.613405897429,88847.53320025533,5.603547140330871
Ecuador,107.114979755508,79.23511215366152,132.15572809381564,1593.001374930641,8419.204149987474,18.921044632621374
Togo,106.57445400315183,36.816767276652826,196.92773070083925,1216.8414981697176,14681.071388612956,8.288506103945066
Iraq,105.8651443281722,61.69955804483471,171.04890876274726,4957.1830279557125,20207.447073866468,24.53146609680671
Central African Republic,105.0490136742802,43.57755753786949,236.8030091580801,1272.3352552982733,29749.841680858885,4.276779920200035
Algeria,104.49846209900252,62.59407323390548,165.8693997802379,4662.638750181586,16015.366354011188,29.11353163653223
Zambia,103.18439033796774,52.31805238674764,196.53398294931932,3331.9328820423357,34080.29341002367,9.776714190677566
Mozambique,102.7023614702525,51.566356505601135,195.47858088648388,5747.449458455536,73743.44072034079,7.793844987856942
Guinea-Bissau,102.36112323326023,42.274194120127305,237.59069810685656,341.59049780076055,5226.136804087271,6.536195101774
Jordan,101.05973065382175,57.33318855584228,155.37619418884822,1157.055740874152,2973.8757617811375,38.90733283965968
Côte d'Ivoire,100.90227837717885,48.573607495156566,191.20128262089924,5015.12066003818,76813.26463867606,6.528977362997053
Eritrea,100.28519265726946,50.60909277702724,190.86105257956618,986.2585072404862,11854.902628750247,8.319414660130855
Zimbabwe,100.2824689986513,52.152561882970616,181.26688636952778,2204.34641710599,25078.77581343409,8.789689072164261
Equatorial Guinea,99.53687742831083,40.96686445018197,195.65071534276586,202.6161346883521,2113.645465566582,9.586098425169851
Turkmenistan,98.5028732252545,63.98013321684031,132.4456494410034,588.0513720880812,3451.0406069869614,17.039827665241464
Fiji,97.95097567818067,59.38172773675395,149.20477222213094,87.40844447995151,398.4674978222658,21.936154129925942
Rwanda,96.29081532626705,40.894178242347074,191.74141589318847,1704.375717909336,19145.461479653044,8.902244115247218
Angola,95.67338357737471,45.58854858508572,179.08164615751866,5650.842504335544,71031.5692766797,7.955395835793206
Djibouti,95.58935307722265,42.865350656546646,183.88437799821403,162.6970408823869,1680.424569228838,9.681900863723387
Paraguay,95.1810927496406,65.36227149179929,133.73844422946848,516.395261775375,1935.461339251047,26.680732459125284
Burundi,94.09031118520127,39.04450292993214,199.9737896075763,2189.636708145762,39925.05530096619,5.484367376925769
Ghana,93.34970524813008,43.58105492905798,168.2055856988622,4006.3969835716175,39085.6098821083,10.250312060259223
Bangladesh,93.0755948806669,52.03779837776682,159.19724395803127,15055.65616204295,103001.84098348996,14.616880648236377
Niger,92.22539299522398,36.98082544984607,183.10040901223928,5019.674421780773,143179.54914889712,3.505859916181639
Timor-Leste,91.73954296274496,53.26903949453557,158.10201677602217,173.69602024768693,1424.736113205095,12.1914520617393
Somalia,91.4200284293493,42.553233836399265,186.0026023135729,3763.233513410656,75572.86991575232,4.979609107879403
Guyana,91.35060423852232,65.16223382041494,119.6547128461719,67.50916391259615,421.3604955379888,16.021711723687133
Papua New Guinea,91.21801568521052,46.54972965287119,169.00375007671104,1499.5650206784162,12809.654097375562,11.706522356334718
