location_name,sdi_value,sdi_group,high_quality_vr,total_rate,total_deaths,frontier_main,gap_main,avoid_main,frontier_hq,gap_hq,avoid_hq
India,0.606982048,Low-middle,FALSE,74.32252372370134,81780.37047515619,32.71292195253171,41.60960177116963,45784.89100854906,43.118715918830695,31.203807804870642,34334.93421192999
Nigeria,0.511952631,Low-middle,FALSE,109.54230677777907,42483.244756449596,44.18493872736894,65.35736805041014,25347.221043606613,42.76680103458255,66.77550574319653,25897.21028952609
Pakistan,0.512722944,Low-middle,FALSE,88.71579448871361,27349.526090158488,44.08628255016059,44.62951193855302,13758.497099519063,42.7729197596038,45.94287472910981,14163.383851795694
Ethiopia,0.393767735,Low,FALSE,124.50073528254373,20420.65428482357,60.36770260410036,64.13303267844337,10519.122522382479,41.83833260874086,82.66240267380286,13558.316290452312
Egypt,0.676519583,Middle,FALSE,121.76206191093965,15207.621266098933,25.407537196509587,96.35452471443006,12034.315911994017,39.26461769597296,82.49744421496669,10303.618938056272
Afghanistan,0.333711266,Low,FALSE,204.53001767985282,12706.906622701754,69.45804954159178,135.07196813826104,8391.662534171373,41.37427669238988,163.15574098746293,10136.43273101631
Indonesia,0.665731524,Middle,FALSE,80.80516535996803,17619.408476546527,26.457874629813553,54.34729073015448,11850.320591542455,40.29766109233027,40.507504267637756,8832.58218552631
Bangladesh,0.517107282,Low-middle,FALSE,93.0755948806669,15055.65616204295,43.52645818762603,49.54913669304087,8014.934163278099,42.80776196420917,50.26783291645773,8131.188518016265
Democratic Republic of the Congo,0.395104186,Low,FALSE,87.17676768262398,12733.23687815942,60.17268198752455,27.004085695099427,3944.2781485732135,41.84871834246007,45.32804934016391,6620.717936852879
Mexico,0.693436757,Middle,TRUE,86.35013479695851,7936.969214338982,23.830401535806185,62.519733261152325,5746.5712051202145,37.28520841130972,49.064926385648796,4509.857583226605
Myanmar,0.532025372,Low-middle,FALSE,118.1934144758962,6321.185797446875,41.64329750229109,76.55011697360511,4094.0310790761637,42.92652830705209,75.26688616884411,4025.401702609882
Brazil,0.683949753,Middle,TRUE,64.61436377282392,9601.244569915603,24.704157006327346,39.91020676649657,5930.378844992955,38.44928721649047,26.165076556333453,3887.9481981927647
Yemen,0.446393545,Low,FALSE,118.22036340340233,5870.0275565138545,52.90254147113777,65.31782193226456,3243.2434111670427,42.24924863346928,75.97111476993305,3772.214230782422
Philippines,0.669416191,Middle,FALSE,75.61597736904243,7611.890431328049,26.09531732688359,49.52066004215884,4985.002527816056,39.964778348097276,35.65119902094515,3588.831754015069
Mozambique,0.341791325,Low,FALSE,102.7023614702525,5747.449458455536,68.19529504150863,34.50706642874387,1931.0911396737288,41.43641032133309,61.265951148919406,3428.5770328135227
United Republic of Tanzania,0.465888633,Low-middle,FALSE,76.18530767517005,7522.798682171772,50.24403843768519,25.94126923748486,2561.5299325911483,42.402493702194896,33.782813972975156,3335.8309651977706
Uganda,0.442281237,Low,FALSE,85.12193721878526,6389.829017702718,53.47054655264443,31.651390666140834,2375.967713344269,42.21699380998606,42.904943408799205,3220.735586547903
United States of America,0.876475276,High,TRUE,29.60819362414093,5485.82021730648,12.073732752574978,17.534460871565955,3248.7932620913766,12.575667793118441,17.03252583102249,3155.7944987037035
Angola,0.499296938,Low-middle,FALSE,95.67338357737471,5650.842504335544,45.81843185359516,49.85495172377955,2944.627541310801,42.666399976076626,53.00698360129808,3130.798815310924
Mali,0.284970766,Low,FALSE,108.22599199249349,4978.613405897429,77.38220738683795,30.843784605655543,1418.8761562654954,41.001445592940506,67.22454639955299,3092.4644047929073
Iraq,0.653812815,Middle,FALSE,105.8651443281722,4957.1830279557125,27.656951803950733,78.20819252422147,3662.133812677315,41.235673205692784,64.62947112247943,3026.304071913981
Burkina Faso,0.306760806,Low,FALSE,108.32413397665654,4798.754312492175,73.77081612136973,34.55331785528681,1530.7104426489348,41.16770725806605,67.1564267185905,2975.0267137778205
Côte d'Ivoire,0.451524015,Low,FALSE,100.90227837717885,5015.12066003818,52.19744545114993,48.704832926028914,2420.764107406717,42.28952394784006,58.612754429338786,2913.215047350251
Algeria,0.657757116,Middle,FALSE,104.49846209900252,4662.638750181586,27.255759875854128,77.2427022231484,3446.5082961046455,40.94837436314048,63.55008773586204,2835.5546646604507
Niger,0.203013134,Low,FALSE,92.22539299522398,5019.674421780773,92.22539299522397,1.4210854715202004e-14,7.734731358557214e-13,40.38208520472247,51.84330779050151,2821.7448319245977
Sudan,0.573101197,Low-middle,FALSE,109.22761019399722,4570.980745890612,36.63619621974351,72.59141397425371,3037.8212523734564,43.235622629629766,65.99198756436746,2761.6470231658873
Türkiye,0.730952258,High-middle,FALSE,77.67365029560187,4208.649672645994,20.650050944999688,57.02359935060218,3089.7524685227427,31.424756940836225,46.24889335476565,2505.938489269061
Cameroon,0.487083713,Low-middle,FALSE,86.01826691726478,4417.5178444506,47.41728138713954,38.60098553012524,1982.375935994153,42.56973263132326,43.44853428594152,2231.3246058302884
Ghana,0.573769063,Low-middle,FALSE,93.34970524813008,4006.3969835716175,36.557007722147716,56.79269752598236,2437.4377128689307,43.23888219383255,50.110823054297526,2150.663998299558
