location_name,sdi_value,sdi_group,total_rate,total_deaths,frontier_asmr,efficiency_gap,gap_pct,avoidable_deaths
Azerbaijan,0.705297926,High-middle,162.4392257968932,1025.5382681093486,22.779917100593465,139.65930869629972,85.97634469824642,881.7203164021201
Afghanistan,0.333711266,Low,204.53001767985282,12706.906622701754,69.45530740686648,135.07471027298635,66.04150911697293,8391.832895716816
Libya,0.770482329,High-middle,143.50884250934993,830.1307519592591,17.77763633030034,125.7312061790496,87.61216659583741,727.2955373698239
Haiti,0.463794706,Low-middle,161.2029104425166,2654.4172423757896,50.524376990234344,110.67853345228227,68.65790025034887,1822.4671424984306
Tunisia,0.683722134,Middle,131.5436835169203,1076.7343693881612,24.72809472925072,106.81558878766958,81.20160993813893,874.3256427004546
Egypt,0.676519583,Middle,121.76206191093965,15207.621266098933,25.41002614671696,96.35203576422269,79.1314094489443,12034.005051521472
Bolivia (Plurinational State of),0.631803304,Middle,120.27488712606792,1373.8033996679048,29.971390954913755,90.30349617115417,75.08092364826018,1031.4642815818622
Lao People's Democratic Republic,0.515008269,Low-middle,128.52239998720728,1032.6819314519382,43.792389199105386,84.7300107881019,65.9262593886635,680.8085687888649
Ecuador,0.690996593,Middle,107.114979755508,1593.001374930641,24.055252084733308,83.05972767077469,77.54258821722239,1235.254496457158
Jordan,0.72035157,High-middle,101.05973065382175,1157.055740874152,21.50648044283482,79.55325021098693,78.71904040937446,910.8231762177106
Iraq,0.653812815,Middle,105.8651443281722,4957.1830279557125,27.658767145126678,78.20637718304553,73.87358481334797,3662.048808509754
Algeria,0.657757116,Middle,104.49846209900252,4662.638750181586,27.257709929788493,77.24075216921403,73.91568317630899,3446.4212862400345
Sierra Leone,0.383229086,Low,138.81862457569972,1522.426522698129,61.913020993198955,76.90560358250076,55.400061639829225,843.4252319958721
Myanmar,0.532025372,Low-middle,118.1934144758962,6321.185797446875,41.641892629792,76.55152184610421,64.76800944075929,4094.106214058327
Turkmenistan,0.682174647,Middle,98.5028732252545,588.0513720880812,24.873297589212456,73.62957563604205,74.74865780581581,439.5605078445244
Fiji,0.686418864,Middle,97.95097567818067,87.40844447995151,24.47678640793068,73.47418927025,75.01118673044206,65.56611150703121
Sudan,0.573101197,Low-middle,109.22761019399722,4570.980745890612,36.63565808379394,72.59195211020328,66.45934300061495,3037.8437724035093
Equatorial Guinea,0.646241526,Middle,99.53687742831083,202.6161346883521,28.44034887636854,71.0965285519423,71.42732461458614,144.7232842453763
Paraguay,0.674088962,Middle,95.1810927496406,516.395261775375,25.64364024892842,69.53745250071218,73.05805227895405,377.2683203138952
Benin,0.40649626,Low,127.27424587124843,2991.0354095195394,58.51920346468251,68.7550424065659,54.021174461421694,1615.7924567794491
Guyana,0.695580314,Middle,91.35060423852232,67.50916391259615,23.639601078289633,67.71100316023269,74.1221185395062,50.03922250032406
Panama,0.71530692,High-middle,89.12690891818879,308.6278998512873,21.925291392434822,67.20161752575396,75.39991944233087,232.70518786442824
Nigeria,0.511952631,Low-middle,109.54230677777907,42483.244756449596,44.183156492664715,65.35915028511437,59.66566909870173,25347.912238774763
Yemen,0.446393545,Low,118.22036340340233,5870.0275565138545,52.89984009526682,65.3205233081355,55.2531910980876,3243.3775433110027
Ethiopia,0.393767735,Low,124.50073528254373,20420.65428482357,60.36471078302548,64.13602449951824,51.51457487698128,10519.613241924926
Mexico,0.693436757,Middle,86.35013479695851,7936.969214338982,23.833173609028137,62.51696118793038,72.39937880228115,5746.316406909717
Suriname,0.654870057,Middle,88.63759916271394,40.261512379458196,27.550849637759406,61.086749524954534,68.91742342074978,27.7471969621488
Seychelles,0.753016949,High-middle,79.0013190749847,5.864971641014786,18.98818229159296,60.013136783391744,75.9647275337641,4.455309727029416
Zambia,0.505571537,Low-middle,103.18439033796774,3331.9328820423357,45.00369055383756,58.180699784130184,56.38517569718295,1878.7162096517827
Türkiye,0.730952258,High-middle,77.67365029560187,4208.649672645994,20.652518770189644,57.02113152541223,73.4111649296865,3089.618752498862
Ghana,0.573769063,Low-middle,93.34970524813008,4006.3969835716175,36.5564844573962,56.793220790733876,60.83920740807216,2437.460170425883
Morocco,0.612385219,Middle,87.96291205680858,2304.143254390331,32.1058423325548,55.857069724253776,63.500705488444865,1463.1472220022733
Togo,0.4605221,Low-middle,106.57445400315183,1216.8414981697176,50.96770025509617,55.60675374805566,52.17643784167184,634.9045479241911
Indonesia,0.665731524,Middle,80.80516535996803,17619.408476546527,26.460077139071263,54.34508822089677,67.25447312532827,11849.840338700795
Zimbabwe,0.491184885,Low-middle,100.2824689986513,2204.34641710599,46.875809577309006,53.40665942134229,53.25622708996182,1173.9517337434029
South Sudan,0.379080534,Low,115.84331644119847,1618.4635218809997,62.527701504341636,53.31561493685683,46.023902435424134,744.8800722634406
Brunei Darussalam,0.832363947,High,66.76603803009188,18.700848983352937,14.152020534463828,52.61401749562805,78.80356397951093,14.73693549330825
Kuwait,0.877142895,High,61.99049597095353,154.750058380443,12.045364426047515,49.94513154490602,80.56901427003983,124.68059661943408
Angola,0.499296938,Low-middle,95.67338357737471,5650.842504335544,45.81643187427287,49.856951703101835,52.11162168502238,2944.7456678757826
Bangladesh,0.517107282,Low-middle,93.0755948806669,15055.65616204295,43.5247693101466,49.550825570520296,53.23718385474719,8015.207351525379
Philippines,0.669416191,Middle,75.61597736904243,7611.890431328049,26.097625579510527,49.5183517895319,65.48662533032996,4984.770167319036
Guinea,0.355150968,Low,115.43263061091383,2703.713226823327,66.13302131282853,49.2996092980853,42.70855566331013,1154.7168684541193
Uzbekistan,0.632090937,Middle,78.9389507909612,3253.6114459337464,29.94039611383137,48.99855467712983,62.07145418854534,2019.563938136033
South Africa,0.70261336,High-middle,71.88079825326393,3756.189162157676,23.014474720908446,48.86632353235549,67.98244415731233,2553.54919960686
Côte d'Ivoire,0.451524015,Low,100.90227837717885,5015.12066003818,52.19479553726879,48.70748283991006,48.27193560272101,2420.895815412387
Djibouti,0.491006575,Low-middle,95.58935307722265,162.6970408823869,46.899204696662814,48.69014838055984,50.936790357002515,82.87265063130809
Liberia,0.38302106,Low,110.15280918215642,841.9608723927721,61.943773116753206,48.20903606540321,43.76559837496415,368.4892138857651
Lebanon,0.723671502,High-middle,69.37883098147911,293.3360448744528,21.23522922931538,48.14360175216373,69.39235076620966,203.55277718300647
Peru,0.685607664,Middle,72.45697791663184,2222.6239337626694,24.552150414737532,47.90482750189431,66.11485722881383,1469.4846405406347
Mauritius,0.736236312,High-middle,67.30055296475429,42.7482619643772,20.240059722103485,47.06049324265081,69.92586415641588,29.8920915904392
Kazakhstan,0.727191018,High-middle,67.97534805778078,1410.3496032227217,20.95146265424062,47.02388540354016,69.17785159933078,975.6495555491649
Venezuela (Bolivarian Republic of),0.580213457,Low-middle,82.77001565333154,1287.820997506769,35.79628203796062,46.97373361537092,56.75211396855667,730.8656402160449
Rwanda,0.462112705,Low-middle,96.29081532626705,1704.375717909336,50.75203154772912,45.53878377853793,47.292967272357764,806.049850468875
Gabon,0.631085776,Middle,75.22748327626874,177.8672608216125,30.048794581365478,45.178688694903265,60.05609483037874,106.82013083122469
Pakistan,0.512722944,Low-middle,88.71579448871361,27349.526090158488,44.08451410142369,44.63128038728992,50.30815611189493,13759.042281300364
Timor-Leste,0.484532958,Low-middle,91.73954296274496,173.69602024768693,47.75174539899331,43.987797563751656,47.94856846149202,83.28475518334922
Iran (Islamic Republic of),0.717585049,High-middle,65.39589609688834,3657.3650727120407,21.735167385801496,43.66072871108684,66.76371350030985,2441.792738805866
Trinidad and Tobago,0.770448612,High-middle,60.79968973409354,43.72684101055689,17.779884799576564,43.019804934516976,70.75661919109028,30.93963437813323
Eritrea,0.414533257,Low,100.28519265726946,986.2585072404862,57.36736309251344,42.91782956475602,42.795779145013185,422.0770125575424
Eswatini,0.606902305,Low-middle,74.81765835318579,100.0838926295905,32.722158073739976,42.095500279445815,56.26412428029881,56.31132573367361
Comoros,0.478698597,Low-middle,90.22968830897123,96.37719147513026,48.52538289732326,41.70430541164797,46.2201590111239,44.54569115026055
